dataset,model,training_setting,total_params,trainable_params,trainable_ratio,tta_updated_params
APAVA,MOMENT-linear,frozen backbone + trainable head,35353794,16386,0.0004634863234197721,
APAVA,MOMENT-full,full fine-tuning,35353794,35353794,1.0,
APAVA,MOMENT-lora,"LoRA(q,v) + trainable head",35468482,131074,0.0036955063371474427,
APAVA,StylePrior-MOMENT,frozen backbone + trainable SA-MoE + head,46067655,10730247,0.23292366411965185,16384
APAVA,CBraMod-full,full fine-tuning + classifier,5743970,5743970,1.0,
SleepEDF,MOMENT-linear,frozen backbone + trainable head,35378373,40965,0.001157910794823719,
SleepEDF,MOMENT-full,full fine-tuning,35378373,35378373,1.0,
SleepEDF,MOMENT-lora,"LoRA(q,v) + trainable head",35493061,155653,0.004385448750109212,
SleepEDF,StylePrior-MOMENT,frozen backbone + trainable SA-MoE + head,46090698,10753290,0.23330716319375333,16384
SleepEDF,CBraMod-full,full fine-tuning + classifier,5744741,5744741,1.0,
REFED,MOMENT-linear,frozen backbone + trainable head,35353794,16386,0.0004634863234197721,
REFED,MOMENT-full,full fine-tuning,35353794,35353794,1.0,
REFED,MOMENT-lora,"LoRA(q,v) + trainable head",35468482,131074,0.0036955063371474427,
REFED,StylePrior-MOMENT,frozen backbone + trainable SA-MoE + head,46072263,10734855,0.23300038463489411,16384
REFED,CBraMod-full,full fine-tuning + classifier,5743970,5743970,1.0,
